"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"Besard","Šabović","Austin FC","Central Midfield","$650,000.00","$650,000.00"
"Paxten","Aaronson","Colorado Rapids","Attacking Midfield","$2,000,000.00","$2,228,063.00"
"Liel","Abada","Charlotte FC","Right Wing","$2,500,000.00","$2,648,500.00"
"Ezequiel","Abadia-Reda","Inter Miami","Left-back","$88,025.00","$88,025.00"
"Wessam","Abou Ali","Columbus Crew","Center Forward","$2,775,000.00","$3,611,750.00"
"Lalas","Abubakar","FC Dallas","Center-back","$460,000.00","$495,000.00"
"Kamran","Acito","New York City FC","Center-back","$88,025.00","$88,025.00"
"Bryan","Acosta","Nashville SC","Central Midfield","$185,000.00","$200,500.00"
"Chase","Adams","Columbus Crew","Center Forward","$88,025.00","$114,303.00"
"Jordan","Adebayo-Smith","Minnesota United","Center Forward","$113,400.00","$130,620.00"
"Sam","Adekugbe","Vancouver Whitecaps","Left-back","$1,300,000.00","$1,388,000.00"
"Nonso","Adimabua","San Jose Earthquakes","Center Forward","$113,400.00","$117,285.00"
"Stephen","Afrifa","Sporting Kansas City","Left Wing","$113,400.00","$113,400.00"
"Kwaku","Agyabeng","Sporting Kansas City","Central Midfield","$88,025.00","$88,858.00"
"Morrison","Agyemang","Charlotte FC","Center-back","$240,000.00","$262,080.00"
"Nariman","Akhundzada","Columbus Crew","Center Forward","$550,000.00","$633,389.00"
"Ibrahim","Aliyu","Houston Dynamo","Center Forward","$525,000.00","$576,379.00"
"Ezekiel","Alladoh","Philadelphia Union","Center Forward","$450,000.00","$540,000.00"
"Noah","Allen","Inter Miami","Left-back","$375,000.00","$434,653.00"
"Tadeo","Allende","Inter Miami","Right Wing","$625,000.00","$1,000,000.00"
"Miguel","Almirón","Atlanta United","Right Wing","$6,056,000.00","$7,871,000.00"
"Rodolfo","Aloko","Charlotte FC","Right Wing","$220,000.00","$251,667.00"
"Alejandro","Alvarado","San Diego FC","Central Midfield","$88,025.00","$95,547.00"
"Antony","Alves Santos","Portland Timbers","Left Wing","$560,000.00","$666,042.00"
"Steven","Alzate","Atlanta United","Central Midfield","$1,062,186.00","$1,377,087.00"
"Pedro","Amador","Atlanta United","Left-back","$256,992.00","$292,604.00"
"Richie","Aman","DC United","Midfielder","$88,025.00","$89,025.00"
"Malte","Amundsen","Columbus Crew","Center-back","$675,000.00","$747,500.00"
"Max","Anchor","Seattle Sounders FC","Goalkeeper","$113,400.00","$120,842.00"
"Markus","Anderson","Philadelphia Union","Center Forward","$140,000.00","$142,000.00"
"Owen","Anderson","Real Salt Lake","Attacking Midfield","$88,025.00","$93,915.00"
"Agustín","Anello","Philadelphia Union","Left Wing","$500,000.00","$539,630.00"
"Iván","Angulo","Orlando City SC","Left Wing","$549,996.00","$582,656.00"
"Conner","Antley","DC United","Right-back","$120,000.00","$121,667.00"
"Tah","Anunga","FC Cincinnati","Central Midfield","$250,000.00","$262,500.00"
"Christopher","Applewhite","Nashville SC","Center-back","$88,025.00","$97,470.00"
"Matthew","Arana","Houston Dynamo","Central Midfield","$88,025.00","$101,986.00"
"Cristian","Arango","San Jose Earthquakes","Center Forward","$800,000.00","$800,000.00"
"Alexander","Aravena","Portland Timbers","Left Wing","$857,143.00","$1,026,310.00"
"Max","Arfsten","Columbus Crew","Left Wing","$800,000.00","$895,000.00"
"Juan Jose","Arias","Real Salt Lake","Center-back","$500,000.00","$565,139.00"
"Emilio","Aristizábal","Toronto FC","Center Forward","$324,996.00","$344,788.00"
"Paul","Arriola","Seattle Sounders FC","Right Wing","$1,000,000.00","$1,142,500.00"
"Jacob","Arroyave","New York City FC","Central Midfield","$113,400.00","$126,398.00"
"Exon","Arzú","Houston Dynamo","Right Wing","$113,400.00","$117,998.00"
"Josh","Atencio","Colorado Rapids","Defensive Midfield","$462,500.00","$462,500.00"
"Eduard","Atuesta","Orlando City SC","Central Midfield","$687,500.00","$825,250.00"
"Julián","Aude","LA Galaxy","Left-back","$375,000.00","$385,000.00"
"Álvaro","Augusto","FC Dallas","Center-back","$113,400.00","$125,518.00"
"Tomás","Avilés","CF Montreal","Center-back","$495,000.00","$522,500.00"
"Oscar","Avilez","DC United","Left Wing","$88,025.00","$108,966.00"
"David","Ayala","Inter Miami","Defensive Midfield","$650,000.00","$771,000.00"
"Elías","Báez","Atlanta United","Left-back","$264,706.00","$293,706.00"
"Roman","Bürki","St. Louis City SC","Goalkeeper","$2,500,000.00","$2,750,000.00"
"Talles Magno","Bacelar Martins","New York City FC","Left Wing","$1,250,000.00","$1,365,000.00"
"Dominique","Badji","MLS Pool","Center Forward","$400,000.00","$435,000.00"
"Jeevan","Badwal","Vancouver Whitecaps","Central Midfield","$113,400.00","$113,400.00"
"Drew","Baiera","New York City FC","Right-back","$113,400.00","$119,336.00"
"Cody","Baker","Seattle Sounders FC","Right-back","$113,400.00","$119,104.00"
"Reed","Baker-Whiting","Nashville SC","Left-back","$275,000.00","$283,000.00"
"Jonathan","Bamba","Chicago Fire","Left Wing","$5,000,000.00","$5,581,806.00"
"Sekou","Bangoura","Columbus Crew","Central Midfield","$450,000.00","$542,167.00"
"Daniel","Baran","FC Dallas","Right Wing","$88,025.00","$102,241.00"
"Jesús","Barea","Real Salt Lake","Center Forward","$88,025.00","$89,761.00"
"Tai","Baribo","DC United","Center Forward","$2,100,000.00","$2,349,000.00"
"Tom","Barlow","FC Cincinnati","Center Forward","$113,400.00","$121,733.00"
"Luis","Barraza","Inter Miami","Goalkeeper","$113,400.00","$120,900.00"
"Leonardo","Barroso","Chicago Fire","Right-back","$350,000.00","$395,500.00"
"Lucas","Bartlett","DC United","Center-back","$525,000.00","$585,625.00"
"Jacob","Bartlett","Sporting Kansas City","Defensive Midfield","$88,025.00","$91,025.00"
"Ethan","Bartlow","Sporting Kansas City","Center-back","$113,400.00","$142,637.00"
"Cole","Bassett","Portland Timbers","Attacking Midfield","$850,000.00","$850,000.00"
"Zorhan","Bassong","Sporting Kansas City","Central Midfield","$450,000.00","$540,833.00"
"Josh","Bauer","Nashville SC","Center-back","$230,000.00","$253,667.00"
"Timo","Baumgartl","St. Louis City SC","Center-back","$600,000.00","$693,333.00"
"Julián","Bazán","New York Red Bulls","Center-back","$274,992.00","$312,825.00"
