New York Red Bulls,Abang,Anatole,F,$,"68,927.00",$,"68,927.00"
New York City FC,Abdul-Salaam,Saad,D,$,"106,480.00",$,"120,230.00"
Columbus Crew,Abu,Mohammed,M,$,"175,008.00",$,"181,258.00"
Columbus Crew,Abubakar,Lalas,D,$,"68,250.04",$,"75,750.04"
Philadelphia Union,Accam,David,F-M,$,"1,250,000.04",$,"1,250,000.04"
Colorado Rapids,Acosta,Kellyn,M,$,"280,000.00",$,"300,000.00"
DC United,Acosta,Luciano,F-M,$,"550,000.00",$,"652,000.00"
Real Salt Lake,Acosta,Danilo,M,$,"100,000.00",$,"100,000.00"
Chicago Fire,Adams,Mohammed,M,$,"90,000.00",$,"125,000.00"
New York Red Bulls,Adams,Tyler,M,$,"100,000.00",$,"146,041.67"
FC Cincinnati,Adi,Fanendo,F,$,"1,275,000.00",$,"1,933,333.33"
Colorado Rapids,Adjei-Boateng,Nana,M,$,"320,004.00",$,"361,250.00"
San Jose Earthquakes,Affolter,Francois,D,$,"200,000.04",$,"232,650.04"
Columbus Crew,Afful,Harrison,D,$,"288,099.96",$,"363,799.96"
New England Revolution,Agudelo,Juan,F,$,"575,000.00",$,"602,500.00"
FC Dallas,Aguilar,Abel,M,$,"272,727.24",$,"328,127.24"
Vancouver Whitecaps,Aja,Jose,D,$,"240,000.00",$,"240,000.00"
San Jose Earthquakes,Akanyirige,Jacob,D,$,"54,500.04",$,"56,500.04"
Toronto FC,Aketxe Barrutia,Ager,M,$,"1,190,000.04",$,"1,295,000.04"
FC Dallas,Akindele,Tesho,F-M,$,"105,000.00",$,"122,500.00"
Toronto FC,Akinola,Ayo,F,$,"54,504.00",$,"140,504.00"
FC Cincinnati,Alashe,Fatai,M,$,"107,992.50",$,"124,242.50"
LA Galaxy,Alessandrini,Romain,M,$,"1,539,996.00",$,"1,869,996.00"
Houston Dynamo,Alexander,Eric,M,$,"260,004.00",$,"260,004.00"
Seattle Sounders FC,Alfaro,Tony,D,$,"67,500.00",$,"67,500.00"
Orlando City SC,Allen,RJ,D,$,"90,000.00",$,"90,000.00"
Real Salt Lake,Allen,Jordan,M,$,"225,000.00",$,"225,000.00"
Atlanta United,Almiron,Miguel,M,$,"1,912,500.00",$,"2,297,000.00"
Seattle Sounders FC,Alonso,Osvaldo,M,$,"1,100,000.04",$,"1,141,667.04"
Toronto FC,Altidore,Jozy,F,$,"5,000,000.00",$,"5,000,000.00"
