Aaronson,Brenden,Philadelphia Union,M,"$85,000","$103,309"
Abdul-Salaam,Saad,FC Cincinnati,D,"$81,375","$90,042"
Abu,Mohammed,DC United,M,"$81,375","$81,375"
Abubakar,Lalas,Colorado Rapids,D,"$145,000","$154,937"
Accam,David,Nashville SC,F,"$875,000","$1,002,916"
Acevedo,Nicolas,New York City FC,D-M,"$135,000","$151,000"
Achara,Ifunanyachi,Toronto FC,M,"$63,547","$63,547"
Acosta,Kellyn,Colorado Rapids,M,"$850,000","$965,000"
Acosta,Bryan,FC Dallas,M,"$600,000","$650,000"
Acosta,George,Inter Miami,M,"$81,375","$81,375"
Acosta,Danilo,LA Galaxy,D,"$81,375","$81,375"
Adams,"Mohammed ""Mo""",Atlanta United,M,"$110,000","$130,000"
Adams,Kyle,Houston Dynamo,D,"$63,547","$63,547"
Adi,Fanendo,Columbus Crew,F,"$1,370,008","$1,775,008"
Adnan,Ali,Vancouver Whitecaps,D,"$1,149,996","$1,227,496"
Afful,Harrison,Columbus Crew,D,"$310,000","$340,000"
Agudelo,Juan,Inter Miami,F,"$300,000","$300,000"
Aias,Matheus,Orlando City SC,F,"$252,000","$267,500"
Aja,Jose,Minnesota United,D,"$81,375","$94,708"
Akanyirige,Jacob,San Jose Earthquakes,D,"$85,000","$87,000"
Akindele,Tesho,Orlando City SC,F,"$200,000","$215,000"
Akinola,Ayo,Toronto FC,F,"$81,375","$149,375"
Alanis,Oswaldo,San Jose Earthquakes,D,"$450,000","$550,000"
Alashe,Fatai,Columbus Crew,M,"$210,000","$210,000"
Aliseda,Ignacio,Chicago Fire,F,"$399,996","$621,497"
Alonso,Osvaldo,Minnesota United,M,"$625,000","$672,500"
Altidore,Jozy,Toronto FC,F,"$2,161,250","$3,602,250"
Alvarado,Alexander,Orlando City SC,F,"$220,000","$220,000"
Alvarez,Efrain,LA Galaxy,M,"$90,000","$94,734"
Amarilla,Luis,Minnesota United,F,"$525,000","$640,500"
Amaya,Frankie,FC Cincinnati,M,"$125,000","$162,000"
Ambrose,Mikey,Inter Miami,D,"$81,375","$81,375"
Anderson,Sebastian,Colorado Rapids,D,"$75,000","$76,667"
Angking,Isaac,New England Revolution,M,"$81,375","$86,375"
Anibaba,Jalil,Nashville SC,D,"$175,000","$175,000"
Anunga,Tah Brian,Nashville SC,M,"$63,547","$63,547"
Aranguiz,Pablo,FC Dallas,M,"$460,000","$520,000"
Araujo,Julian,LA Galaxy,D,"$90,000","$96,250"
