year,club_short,club_long,conference
2007,CHI,Chicago Fire FC,Eastern
2007,CHV,Chivas USA,Western
2007,CLB,Columbus Crew,Eastern
2007,COL,Colorado Rapids,Western
2007,DAL,FC Dallas,Western
2007,DC,D.C. United,Eastern
2007,HOU,Houston Dynamo FC,Western
2007,SKC,Kansas City Wizards,Eastern
2007,LA,LA Galaxy,Western
2007,NE,New England Revolution,Eastern
2007,NY,New York Red Bulls,Eastern
2007,RSL,Real Salt Lake,Western
2007,TOR,Toronto FC,Eastern
2008,CHI,Chicago Fire FC,Eastern
2008,CHV,Chivas USA,Western
2008,CLB,Columbus Crew,Eastern
2008,COL,Colorado Rapids,Western
2008,DAL,FC Dallas,Western
2008,DC,D.C. United,Eastern
2008,HOU,Houston Dynamo FC,Western
2008,SKC,Kansas City Wizards,Eastern
2008,LA,LA Galaxy,Western
2008,NE,New England Revolution,Eastern
2008,NY,New York Red Bulls,Eastern
2008,RSL,Real Salt Lake,Western
2008,SEA,Seattle Sounders FC,Expansion
2008,SJ,San Jose Earthquakes,Western
2008,TOR,Toronto FC,Eastern
2009,CHI,Chicago Fire FC,Eastern
2009,CHV,Chivas USA,Western
2009,CLB,Columbus Crew,Eastern
2009,COL,Colorado Rapids,Western
2009,DAL,FC Dallas,Western
2009,DC,D.C. United,Eastern
2009,HOU,Houston Dynamo FC,Western
2009,SKC,Kansas City Wizards,Eastern
2009,LA,LA Galaxy,Western
2009,NE,New England Revolution,Eastern
2009,NY,New York Red Bulls,Eastern
2009,RSL,Real Salt Lake,Western
2009,SEA,Seattle Sounders FC,Western
2009,SJ,San Jose Earthquakes,Western
2009,TOR,Toronto FC,Eastern
2010,CHI,Chicago Fire FC,Eastern
2010,CHV,Chivas USA,Western
2010,CLB,Columbus Crew,Eastern
2010,COL,Colorado Rapids,Western
2010,DAL,FC Dallas,Western
2010,DC,D.C. United,Eastern
2010,HOU,Houston Dynamo FC,Western
2010,SKC,Kansas City Wizards,Eastern
2010,LA,LA Galaxy,Western
2010,NE,New England Revolution,Eastern
2010,NY,New York Red Bulls,Eastern
2010,PHI,Philadelphia Union,Expansion
2010,RSL,Real Salt Lake,Western
2010,SEA,Seattle Sounders FC,Western
2010,SJ,San Jose Earthquakes,Western
2010,TOR,Toronto FC,Eastern
2011,CHI,Chicago Fire FC,Eastern
2011,CHV,Chivas USA,Western
2011,CLB,Columbus Crew,Eastern
2011,COL,Colorado Rapids,Western
2011,DAL,FC Dallas,Western
2011,DC,D.C. United,Eastern
2011,HOU,Houston Dynamo FC,Eastern
2011,SKC,Sporting Kansas City,Eastern
2011,LA,LA Galaxy,Western
2011,NE,New England Revolution,Eastern
2011,NY,New York Red Bulls,Eastern
2011,PHI,Philadelphia Union,Eastern
2011,POR,Portland Timbers,Western
2011,RSL,Real Salt Lake,Western
2011,SEA,Seattle Sounders FC,Western
2011,SJ,San Jose Earthquakes,Western
2011,TOR,Toronto FC,Eastern
2011,VAN,Vancouver Whitecaps,Western
2012,CHI,Chicago Fire FC,Eastern
2012,CHV,Chivas USA,Western
2012,CLB,Columbus Crew,Eastern
2012,COL,Colorado Rapids,Western
2012,DAL,FC Dallas,Western
2012,DC,D.C. United,Eastern
2012,HOU,Houston Dynamo FC,Eastern
2012,SKC,Sporting Kansas City,Eastern
2012,LA,LA Galaxy,Western
2012,MTL,Montreal Impact,Eastern
2012,NE,New England Revolution,Eastern
2012,NY,New York Red Bulls,Eastern
2012,PHI,Philadelphia Union,Eastern
2012,POR,Portland Timbers,Western
2012,RSL,Real Salt Lake,Western
2012,SEA,Seattle Sounders FC,Western
2012,SJ,San Jose Earthquakes,Western
2012,TOR,Toronto FC,Eastern
2012,VAN,Vancouver Whitecaps,Western
2013,CHI,Chicago Fire FC,Eastern
2013,CHV,Chivas USA,Western
2013,CLB,Columbus Crew,Eastern
2013,COL,Colorado Rapids,Western
2013,DAL,FC Dallas,Western
2013,DC,D.C. United,Eastern
2013,HOU,Houston Dynamo FC,Eastern
2013,SKC,Sporting Kansas City,Eastern
2013,LA,LA Galaxy,Western
2013,MTL,Montreal Impact,Eastern
2013,NE,New England Revolution,Eastern
2013,NY,New York Red Bulls,Eastern
2013,PHI,Philadelphia Union,Eastern
2013,POR,Portland Timbers,Western
2013,RSL,Real Salt Lake,Western
2013,SEA,Seattle Sounders FC,Western
2013,SJ,San Jose Earthquakes,Western
2013,TOR,Toronto FC,Eastern
2013,VAN,Vancouver Whitecaps,Western
2014,CHI,Chicago Fire FC,Eastern
2014,CHV,Chivas USA,Western
2014,CLB,Columbus Crew,Eastern
2014,COL,Colorado Rapids,Western
2014,DAL,FC Dallas,Western
2014,DC,D.C. United,Eastern
2014,HOU,Houston Dynamo FC,Eastern
2014,SKC,Sporting Kansas City,Eastern
2014,LA,LA Galaxy,Western
2014,MTL,Montreal Impact,Eastern
2014,NE,New England Revolution,Eastern
2014,NY,New York Red Bulls,Eastern
2014,NYC,New York City FC,Expansion
2014,ORL,Orlando City SC,Expansion
2014,PHI,Philadelphia Union,Eastern
2014,POR,Portland Timbers,Western
2014,RSL,Real Salt Lake,Western
2014,SEA,Seattle Sounders FC,Western
2014,SJ,San Jose Earthquakes,Western
2014,TOR,Toronto FC,Eastern
2014,VAN,Vancouver Whitecaps,Western
2015,CHI,Chicago Fire FC,Eastern
2015,CLB,Columbus Crew,Eastern
2015,COL,Colorado Rapids,Western
2015,DAL,FC Dallas,Western
2015,DC,D.C. United,Eastern
2015,HOU,Houston Dynamo FC,Western
2015,SKC,Sporting Kansas City,Eastern
2015,LA,LA Galaxy,Western
2015,MTL,Montreal Impact,Eastern
2015,NE,New England Revolution,Eastern
2015,NY,New York Red Bulls,Eastern
2015,NYC,New York City FC,Eastern
2015,ORL,Orlando City SC,Eastern
2015,PHI,Philadelphia Union,Eastern
2015,POR,Portland Timbers,Western
2015,RSL,Real Salt Lake,Western
2015,SEA,Seattle Sounders FC,Western
2015,SJ,San Jose Earthquakes,Western
2015,TOR,Toronto FC,Eastern
2015,VAN,Vancouver Whitecaps,Western
2016,ATL,Atlanta United FC,Expansion
2016,CHI,Chicago Fire FC,Eastern
2016,CLB,Columbus Crew,Eastern
2016,COL,Colorado Rapids,Western
2016,DAL,FC Dallas,Western
2016,DC,D.C. United,Eastern
2016,HOU,Houston Dynamo FC,Western
2016,SKC,Sporting Kansas City,Eastern
2016,LA,LA Galaxy,Western
2016,MTL,Montreal Impact,Eastern
2016,NE,New England Revolution,Eastern
2016,NYC,New York City FC,Eastern
2016,NY,New York Red Bulls,Eastern
2016,ORL,Orlando City SC,Eastern
2016,PHI,Philadelphia Union,Eastern
2016,POR,Portland Timbers,Western
2016,RSL,Real Salt Lake,Western
2016,SEA,Seattle Sounders FC,Western
2016,SJ,San Jose Earthquakes,Western
2016,TOR,Toronto FC,Eastern
2016,VAN,Vancouver Whitecaps,Western
2017,ATL,Atlanta United FC,Eastern
2017,CHI,Chicago Fire FC,Eastern
2017,CLB,Columbus Crew,Eastern
2017,COL,Colorado Rapids,Western
2017,DAL,FC Dallas,Western
2017,DC,D.C. United,Eastern
2017,HOU,Houston Dynamo FC,Western
2017,SKC,Sporting Kansas City,Western
2017,LA,LA Galaxy,Western
2017,LAFC,LAFC,Western
2017,MIN,Minnesota United FC,Western
2017,MTL,Montreal Impact,Eastern
2017,NE,New England Revolution,Eastern
2017,NYC,New York City FC,Eastern
2017,NY,New York Red Bulls,Eastern
2017,ORL,Orlando City SC,Eastern
2017,PHI,Philadelphia Union,Eastern
2017,POR,Portland Timbers,Western
2017,RSL,Real Salt Lake,Western
2017,SEA,Seattle Sounders FC,Western
2017,SJ,San Jose Earthquakes,Western
2017,TOR,Toronto FC,Eastern
2017,VAN,Vancouver Whitecaps,Western
2018,ATL,Atlanta United FC,Eastern
2018,CHI,Chicago Fire FC,Eastern
2018,COL,Colorado Rapids,Western
2018,CLB,Columbus Crew,Eastern
2018,DC,D.C. United,Eastern
2018,CIN,FC Cincinnati,Expansion
2018,DAL,FC Dallas,Western
2018,HOU,Houston Dynamo FC,Western
2018,LA,LA Galaxy,Western
2018,LAFC,LAFC,Western
2018,MIN,Minnesota United FC,Western
2018,MTL,Montreal Impact,Eastern
2018,NE,New England Revolution,Eastern
2018,NYC,New York City FC,Eastern
2018,NY,New York Red Bulls,Eastern
2018,ORL,Orlando City SC,Eastern
2018,PHI,Philadelphia Union,Eastern
2018,POR,Portland Timbers,Western
2018,RSL,Real Salt Lake,Western
2018,SJ,San Jose Earthquakes,Western
2018,SEA,Seattle Sounders FC,Western
2018,SKC,Sporting Kansas City,Western
2018,TOR,Toronto FC,Eastern
2018,VAN,Vancouver Whitecaps,Western
2019,ATL,Atlanta United FC,Eastern
2019,CHI,Chicago Fire FC,Eastern
2019,COL,Colorado Rapids,Western
2019,CLB,Columbus Crew,Eastern
2019,DC,D.C. United,Eastern
2019,CIN,FC Cincinnati,Eastern
2019,DAL,FC Dallas,Western
2019,HOU,Houston Dynamo FC,Western
2019,MIA,Inter Miami CF,Eastern
2019,LA,LA Galaxy,Western
2019,LAFC,LAFC,Western
2019,MIN,Minnesota United FC,Western
2019,MTL,Montreal Impact,Eastern
2019,NSH,Nashville SC,Expansion
2019,NE,New England Revolution,Eastern
2019,NYC,New York City FC,Eastern
2019,NY,New York Red Bulls,Eastern
2019,ORL,Orlando City SC,Eastern
2019,PHI,Philadelphia Union,Eastern
2019,POR,Portland Timbers,Western
2019,RSL,Real Salt Lake,Western
2019,SJ,San Jose Earthquakes,Western
2019,SEA,Seattle Sounders FC,Western
2019,SKC,Sporting Kansas City,Western
2019,TOR,Toronto FC,Eastern
2019,VAN,Vancouver Whitecaps,Western
2020,ATL,Atlanta United FC,Eastern
2020,ATX,Austin FC,Western
2020,CHI,Chicago Fire FC,Eastern
2020,COL,Colorado Rapids,Western
2020,CLB,Columbus Crew,Eastern
2020,DC,D.C. United,Eastern
2020,CIN,FC Cincinnati,Western
2020,DAL,FC Dallas,Western
2020,HOU,Houston Dynamo FC,Western
2020,MIA,Inter Miami CF,Eastern
2020,LA,LA Galaxy,Western
2020,LAFC,LAFC,Western
2020,MIN,Minnesota United FC,Western
2020,MTL,Montreal Impact,Eastern
2020,NSH,Nashville SC,Eastern
2020,NE,New England Revolution,Eastern
2020,NYC,New York City FC,Eastern
2020,NY,New York Red Bulls,Eastern
2020,ORL,Orlando City SC,Eastern
2020,PHI,Philadelphia Union,Eastern
2020,POR,Portland Timbers,Western
2020,RSL,Real Salt Lake,Western
2020,SJ,San Jose Earthquakes,Western
2020,SEA,Seattle Sounders FC,Western
2020,SKC,Sporting Kansas City,Western
2020,TOR,Toronto FC,Eastern
2020,VAN,Vancouver Whitecaps,Western
2021,ATL,Atlanta United FC,Eastern
2021,ATX,Austin FC,Western
2021,CLT,Charlotte FC,Expansion
2021,CHI,Chicago Fire FC,Eastern
2021,COL,Colorado Rapids,Western
2021,CLB,Columbus Crew,Eastern
2021,DC,D.C. United,Eastern
2021,CIN,FC Cincinnati,Eastern
2021,DAL,FC Dallas,Western
2021,HOU,Houston Dynamo FC,Western
2021,MIA,Inter Miami CF,Eastern
2021,LA,LA Galaxy,Western
2021,LAFC,LAFC,Western
2021,MIN,Minnesota United FC,Western
2021,MTL,CF Montréal,Eastern
2021,NSH,Nashville SC,Eastern
2021,NE,New England Revolution,Eastern
2021,NYC,New York City FC,Eastern
2021,NY,New York Red Bulls,Eastern
2021,ORL,Orlando City SC,Eastern
2021,PHI,Philadelphia Union,Eastern
2021,POR,Portland Timbers,Western
2021,RSL,Real Salt Lake,Western
2021,SJ,San Jose Earthquakes,Western
2021,SEA,Seattle Sounders FC,Western
2021,SKC,Sporting Kansas City,Western
2021,TOR,Toronto FC,Eastern
2021,VAN,Vancouver Whitecaps,Western
2022,ATL,Atlanta United FC,Eastern
2022,ATX,Austin FC,Western
2022,CLT,Charlotte FC,Eastern
2022,CHI,Chicago Fire FC,Eastern
2022,COL,Colorado Rapids,Western
2022,CLB,Columbus Crew,Eastern
2022,DC,D.C. United,Eastern
2022,CIN,FC Cincinnati,Eastern
2022,DAL,FC Dallas,Western
2022,HOU,Houston Dynamo FC,Western
2022,MIA,Inter Miami CF,Eastern
2022,LA,LA Galaxy,Western
2022,LAFC,LAFC,Western
2022,MIN,Minnesota United FC,Western
2022,MTL,CF Montréal,Eastern
2022,NSH,Nashville SC,Western
2022,NE,New England Revolution,Eastern
2022,NYC,New York City FC,Eastern
2022,NY,New York Red Bulls,Eastern
2022,ORL,Orlando City SC,Eastern
2022,PHI,Philadelphia Union,Eastern
2022,POR,Portland Timbers,Western
2022,RSL,Real Salt Lake,Western
2022,SJ,San Jose Earthquakes,Western
2022,SEA,Seattle Sounders FC,Western
2022,SKC,Sporting Kansas City,Western
2022,TOR,Toronto FC,Eastern
2022,VAN,Vancouver Whitecaps,Western
2023,ATL,Atlanta United FC,Eastern
2023,ATX,Austin FC,Western
2023,CLT,Charlotte FC,Eastern
2023,CHI,Chicago Fire FC,Eastern
2023,COL,Colorado Rapids,Western
2023,CLB,Columbus Crew,Eastern
2023,DC,D.C. United,Eastern
2023,CIN,FC Cincinnati,Eastern
2023,DAL,FC Dallas,Western
2023,HOU,Houston Dynamo FC,Western
2023,MIA,Inter Miami CF,Eastern
2023,LA,LA Galaxy,Western
2023,LAFC,LAFC,Western
2023,MIN,Minnesota United FC,Western
2023,MTL,CF Montréal,Eastern
2023,NSH,Nashville SC,Eastern
2023,NE,New England Revolution,Eastern
2023,NYC,New York City FC,Eastern
2023,NY,New York Red Bulls,Eastern
2023,ORL,Orlando City SC,Eastern
2023,PHI,Philadelphia Union,Eastern
2023,POR,Portland Timbers,Western
2023,RSL,Real Salt Lake,Western
2023,SJ,San Jose Earthquakes,Western
2023,SEA,Seattle Sounders FC,Western
2023,SKC,Sporting Kansas City,Western
2023,STL,St. Louis CITY SC,Western
2023,TOR,Toronto FC,Eastern
2023,VAN,Vancouver Whitecaps,Western
2007,MLS,Major League Soccer,
2008,MLS,Major League Soccer,
2009,MLS,Major League Soccer,
2010,MLS,Major League Soccer,
2011,MLS,Major League Soccer,
2012,MLS,Major League Soccer,
2013,MLS,Major League Soccer,
2014,MLS,Major League Soccer,
2015,MLS,Major League Soccer,
2016,MLS,Major League Soccer,
2017,MLS,Major League Soccer,
2018,MLS,Major League Soccer,
2019,MLS,Major League Soccer,
2020,MLS,Major League Soccer,
2021,MLS,Major League Soccer,
2022,MLS,Major League Soccer,
2023,MLS,Major League Soccer,
