Num,fname,lname,club,position,CY Base Salary,CY Guaranteed Comp
1,Aleksey,Miranchuk,Atlanta United,Attacking Midfield,"$2,400,000.00","$3,685,441.00"
2,Matthew,Edwards,Atlanta United,Center-back,"$71,401.00","$71,401.00"
3,Pedro,Amador,Atlanta United,Left-back,"$207,000.00","$242,612.00"
4,Daniel,Ríos,Atlanta United,Center Forward,"$89,716.00","$126,383.00"
5,Stian,Gregersen,Atlanta United,Center-back,"$1,000,000.00","$1,120,000.00"
6,Dax,McCarty,Atlanta United,Central Midfield,"$225,000.00","$256,250.00"
7,Bartosz,Slisz,Atlanta United,Defensive Midfield,"$630,000.00","$830,000.00"
8,Derrick,Williams,Atlanta United,Center-back,"$400,000.00","$447,500.00"
9,Quentin,Westberg,Atlanta United,Goalkeeper,"$89,716.00","$109,716.00"
10,Josh,Cohen,Atlanta United,Goalkeeper,"$265,000.00","$303,500.00"
11,Efraín,Morales,Atlanta United,Center-back,"$89,716.00","$97,735.00"
12,Luke,Brennan,Atlanta United,Left Wing,"$71,401.00","$71,401.00"
13,Nick,Firmino,Atlanta United,Central Midfield,"$71,401.00","$71,401.00"
14,Saba,Lobjanidze,Atlanta United,Left Wing,"$900,000.00","$998,750.00"
15,Xande,Silva,Atlanta United,Left Wing,"$560,000.00","$604,250.00"
16,Jamal,Thiaré,Atlanta United,Center Forward,"$500,000.00","$595,000.00"
17,Tristan,Muyumba,Atlanta United,Defensive Midfield,"$525,000.00","$566,600.00"
18,Adyn,Torres,Atlanta United,Central Midfield,"$71,401.00","$71,401.00"
19,Brad,Guzan,Atlanta United,Goalkeeper,"$600,000.00","$612,500.00"
20,Noah,Cobb,Atlanta United,Center-back,"$89,716.00","$89,716.00"
21,Ajani,Fortune,Atlanta United,Central Midfield,"$71,401.00","$71,401.00"
22,Luis,Abram,Atlanta United,Center-back,"$732,275.00","$871,888.00"
23,Edwin,Mosquera,Atlanta United,Left Wing,"$400,000.00","$437,000.00"
24,Tyler,Wolff,Atlanta United,Right Wing,"$150,000.00","$154,500.00"
25,Brooks,Lennon,Atlanta United,Right-back,"$740,000.00","$740,000.00"
26,Ronald,Hernández,Atlanta United,Right-back,"$450,000.00","$450,000.00"
27,Erik,Centeno,Atlanta United,Right-back,"$89,716.00","$96,492.00"
28,Franco,Ibarra,Atlanta United,Defensive Midfield,"$600,000.00","$660,000.00"
29,Santiago,Sosa,Atlanta United,Defensive Midfield,"$685,000.00","$778,100.00"
30,Jáder,Obrian,Austin FC,Right Wing,"$495,000.00","$550,401.00"
31,Brendan,Hines-Ike,Austin FC,Center-back,"$199,992.00","$199,992.00"
32,Osman,Bukari,Austin FC,Right Wing,"$1,000,000.00","$1,000,000.00"
33,Jimmy,Farkarlun,Austin FC,Right Wing,"$71,401.00","$71,401.00"
34,Owen,Wolff,Austin FC,Central Midfield,"$110,000.00","$123,600.00"
35,Oleksandr,Svatok,Austin FC,Center-back,"$300,000.00","$300,000.00"
36,Mikkel,Desler,Austin FC,Right-back,"$500,000.00","$500,000.00"
37,Guilherme,da Trindade Dubas,Austin FC,Left-back,"$200,000.00","$200,000.00"
38,Diego,Rubio,Austin FC,Center Forward,"$350,000.00","$390,000.00"
39,Stefan,Cleveland,Austin FC,Goalkeeper,"$200,000.00","$224,167.00"
40,Ethan,Finlay,Austin FC,Right Wing,"$262,500.00","$306,250.00"
41,Julio,Cascante,Austin FC,Center-back,"$700,000.00","$773,750.00"
42,Gyasi,Zardes,Austin FC,Center Forward,"$1,000,000.00","$1,000,000.00"
43,CJ,Fodrey,Austin FC,Left Wing,"$89,716.00","$93,716.00"
44,Brad,Stuver,Austin FC,Goalkeeper,"$459,000.00","$481,813.00"
45,Daniel,Pereira,Austin FC,Central Midfield,"$125,000.00","$138,414.00"
46,Alexander,Ring,Austin FC,Central Midfield,"$1,525,000.00","$1,665,000.00"
47,Jhojan,Valencia,Austin FC,Defensive Midfield,"$450,000.00","$495,125.00"
48,Sebastián,Driussi,Austin FC,Attacking Midfield,"$4,500,000.00","$6,722,500.00"
49,Leo,Väisänen,Austin FC,Center-back,"$600,000.00","$654,500.00"
50,Héctor,Jiménez,Austin FC,Right-back,"$89,716.00","$89,716.00"
51,Jon,Gallagher,Austin FC,Left-back,"$375,000.00","$375,000.00"
52,Matt,Hedges,Austin FC,Center-back,"$428,313.00","$560,922.00"
53,Matt,Bersano,Austin FC,Goalkeeper,"$150,000.00","$157,500.00"
54,Žan,Kolmanič,Austin FC,Left-back,"$350,000.00","$350,000.00"
55,Micah,Burton,Austin FC,Attacking Midfield,"$71,401.00","$82,401.00"
56,Damian,Las,Austin FC,Goalkeeper,"$89,716.00","$89,716.00"
57,Ilias,Iliadis,CF Montreal,Defensive Midfield,"$89,716.00","$96,591.00"
58,Rida,Zouhir,CF Montreal,Central Midfield,"$89,716.00","$100,452.00"
59,Dawid,Bugaj,CF Montreal,Right-back,"$240,000.00","$267,600.00"
60,Tom,Pearce,CF Montreal,Left-back,"$450,000.00","$507,625.00"
61,Josef,Martínez,CF Montreal,Center Forward,"$1,309,091.00","$1,309,091.00"
62,Alessandro,Biello,CF Montreal,Central Midfield,"$71,401.00","$71,401.00"
63,Joaquín,Sosa,CF Montreal,Center-back,"$251,500.00","$251,500.00"
